Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1999-06-04,5.125,7.921875,5.0625,7.4375,7386600.0
1999-06-07,7.90625,8.3125,7.3125,7.75,1234600.0
1999-06-08,7.8125,10.1875,7.75,9.84375,1477200.0
1999-06-09,10.0,10.59375,9.3125,9.6875,1332600.0
1999-06-10,9.6875,9.84375,8.5,8.59375,545600.0
1999-06-11,8.625,8.6875,7.9375,8.0,446200.0
1999-06-14,7.96875,8.0,7.25,7.625,503600.0
1999-06-15,7.4375,8.0625,7.4375,7.75,384400.0
1999-06-16,7.875,8.9375,7.8125,8.34375,135400.0
1999-06-17,8.4375,10.40625,8.375,10.03125,814000.0
1999-06-18,10.25,11.0625,9.28125,9.3125,428600.0
1999-06-21,9.9375,10.875,9.5,9.75,410400.0
1999-06-22,10.25,10.25,9.625,9.875,207600.0
1999-06-23,9.75,9.8125,9.125,9.3125,337800.0
1999-06-24,9.21875,9.3125,8.5625,9.0,198200.0
1999-06-25,9.0,11.6875,8.84375,11.3125,1423000.0
1999-06-28,12.25,14.5,11.5,13.9375,1403200.0
1999-06-29,14.03125,18.25,12.875,15.75,2018200.0
1999-06-30,16.96875,22.5625,16.0,20.5,2313600.0
1999-07-01,21.875,23.0,19.0,19.25,1578400.0
1999-07-02,18.9375,19.9375,17.0,18.5,1060600.0
1999-07-06,18.375,21.3125,18.0625,20.78125,736800.0
1999-07-07,21.0,21.5,18.75,19.75,587400.0
1999-07-08,20.625,22.0,20.25,21.96875,672000.0
1999-07-09,22.40625,25.9375,22.0,25.375,1105600.0
1999-07-12,27.5,28.25,26.5,27.46875,1173600.0
1999-07-13,27.25,27.3125,23.75,25.34375,697800.0
1999-07-14,26.25,27.625,26.1875,26.71875,339200.0
1999-07-15,28.5,37.0,27.8125,35.625,2381000.0
1999-07-16,35.59375,42.5,33.03125,34.5625,3667000.0
1999-07-19,36.0,36.375,32.75,34.5,1256000.0
1999-07-20,33.625,34.0,30.84375,31.40625,900400.0
1999-07-21,32.8125,35.75,27.75,29.34375,1656400.0
1999-07-22,31.0,31.5625,28.0,30.40625,918800.0
1999-07-23,30.40625,30.625,28.75,29.4375,419600.0
1999-07-26,29.03125,29.21875,25.125,25.75,683400.0
1999-07-27,26.875,28.0,25.625,27.0,477400.0
1999-07-28,26.59375,29.125,26.5,28.8125,446000.0
1999-07-29,28.0,28.0,25.125,25.375,569800.0
1999-07-30,26.75,26.75,21.90625,25.0,698400.0
1999-08-02,23.8125,25.0,21.5625,22.25,296400.0
1999-08-03,19.5,21.5,19.5,20.5625,1086600.0
1999-08-04,19.25,19.375,16.5,17.25,1538600.0
1999-08-05,16.0625,18.0625,13.875,17.3125,1604800.0
1999-08-06,16.03125,18.75,16.0,16.0625,1064600.0
1999-08-09,17.1875,17.5,14.625,14.9375,371400.0
1999-08-10,14.875,19.0,14.875,18.75,943400.0
1999-08-11,19.9375,22.78125,17.0,21.4375,1462400.0
1999-08-12,22.28125,24.5,20.375,22.75,1445400.0
1999-08-13,24.03125,27.3125,24.0,27.21875,1661600.0
1999-08-16,27.5625,31.5625,25.03125,29.5,2053200.0
1999-08-17,31.25,32.0625,28.0,28.3125,1451400.0
1999-08-18,28.4375,28.4375,25.0,26.65625,1120200.0
1999-08-19,24.75,27.0625,24.6875,25.8125,599600.0
1999-08-20,26.40625,27.5,25.25,27.4375,375600.0
1999-08-23,29.125,31.0,28.25,30.4375,886800.0
1999-08-24,29.84375,35.0,29.3125,33.3125,2357400.0
1999-08-25,34.84375,35.0625,31.375,31.71875,1071000.0
1999-08-26,33.25,33.625,30.1875,30.34375,546000.0
1999-08-27,29.75,30.34375,28.0,28.625,486800.0
1999-08-30,29.625,31.5,29.25,31.0,393600.0
1999-08-31,32.25,34.375,31.5,33.90625,1286000.0
1999-09-01,34.1875,34.21875,31.125,32.25,504200.0
1999-09-02,30.09375,34.1875,29.75,32.75,668600.0
1999-09-03,34.96875,36.125,34.0,34.75,845400.0
1999-09-07,35.0,41.46875,32.8125,37.65625,2121600.0
1999-09-08,36.5625,39.25,34.625,34.75,904400.0
1999-09-09,34.0,36.25,32.8125,35.5,1068000.0
1999-09-10,35.96875,38.0,34.28125,37.3125,666400.0
1999-09-13,36.0,41.75,35.5,36.625,618600.0
1999-09-14,35.453125,37.75,33.5,34.96875,626200.0
1999-09-15,35.1875,35.625,32.125,32.390625,513800.0
1999-09-16,32.71875,35.84375,31.46875,35.0625,769600.0
1999-09-17,36.15625,36.75,34.25,34.375,630400.0
1999-09-20,34.25,34.25,32.0,32.90625,406400.0
1999-09-21,32.6875,34.5,30.0625,34.328125,1064800.0
1999-09-22,33.375,36.875,32.4375,34.75,730000.0
1999-09-23,35.5,36.3125,32.75,32.875,506800.0
1999-09-24,32.5,34.0,31.5,33.125,587600.0
1999-09-27,34.0,35.9375,33.9375,34.46875,677800.0
1999-09-28,34.21875,34.21875,32.53125,33.5,368600.0
1999-09-29,33.78125,36.0,33.1875,33.75,600600.0
1999-09-30,33.65625,34.4375,33.4375,34.0,6232200.0
1999-10-01,33.5,34.1875,33.46875,34.03125,2450400.0
1999-10-04,34.25,34.3125,33.5,33.6875,774200.0
1999-10-05,33.78125,38.625,33.78125,36.75,1851400.0
1999-10-06,37.25,41.5,37.1875,40.125,1024600.0
1999-10-07,40.25,40.5625,36.59375,36.9375,492400.0
1999-10-08,37.03125,39.375,36.0,39.03125,753400.0
1999-10-11,40.9375,48.25,40.375,46.0,2332200.0
1999-10-12,45.625,48.6875,43.8125,45.46875,1557600.0
1999-10-13,43.0,47.03125,39.25,40.5,1741800.0
1999-10-14,41.09375,41.96875,36.34375,39.90625,1811400.0
1999-10-15,35.125,39.4375,35.0,37.5,1266600.0
1999-10-18,38.375,39.4375,34.875,36.96875,718600.0
1999-10-19,39.4375,40.4375,37.0,37.375,637200.0
1999-10-20,39.0625,43.375,38.4375,42.75,1131600.0
1999-10-21,40.21875,46.3125,39.5,44.625,1037600.0
1999-10-22,46.4375,47.0,44.625,45.375,420400.0
1999-10-25,44.15625,46.5,43.9375,46.0,456400.0
1999-10-26,46.75,50.5,46.125,49.5625,1894600.0
1999-10-27,59.25,73.875,57.5,68.5,6836000.0
1999-10-28,72.375,72.9375,64.0,67.0,1977800.0
1999-10-29,66.875,72.4375,66.875,69.375,1199800.0
1999-11-01,69.5,80.25,69.375,76.3125,2040200.0
1999-11-02,76.125,79.375,73.0,74.875,1305800.0
1999-11-03,77.4375,78.5,73.125,74.25,878600.0
1999-11-04,73.90625,75.75,68.75,72.34375,1083400.0
1999-11-05,72.375,72.59375,68.5,69.25,1204800.0
1999-11-08,61.25,67.5,60.53125,65.0,3583000.0
1999-11-09,65.75,70.0,62.5,69.625,2591000.0
1999-11-10,69.234375,77.875,69.0,71.375,1684000.0
